license,name,entity,estab_type,address,city,zip,borough,sqft,size_class,is_supermarket,lon,lat
718373,KNISH NOSH,KNISH NOSH INC,ABCK,98-104 QUEENS BLVD,REGO PARK,11374,Queens,2000,Corner store or specialty,True,-73.85484,40.72714
718374,ADEN 1 DELI GROCERY,ADEN 1 DELI GROCERY CORP,AC,3060 EASTCHESTER RD,BRONX,10469,Bronx,,Size unknown,True,-73.84351,40.8711
718405,MICHAELS DELI,FREDDIE CORP,AC,454 CASTLETON AVE,STATEN ISLAND,10301,Staten Island,2000,Corner store or specialty,True,-74.09755,40.63397
718411,PATHMARK,1525 K FOOD LLC,AC,1525 ALBANY AVE  ###,BROOKLYN,11210,Brooklyn,5900,Standard supermarket,True,-73.93722,40.63574
718428,DOM GROCERY,DOM GROCERY CORP,AC,2911 FULTON ST,BROOKLYN,11207,Brooklyn,,Size unknown,True,-73.88715,40.67917
718452,LA REYNA DE WESTCHESTER DELI GROCERY,LA REYNA DE WESTCHESTER DELI GROCERY COR,AC,1218 WESTCHESTER AVE,BRONX,10459,Bronx,,Size unknown,True,-73.88915,40.8261
718476,L STOP GOURMET DELI,L STOP GOURMET DELI CORP,AC,223 MONTROSE AVE,BROOKLYN,11206,Brooklyn,1500,Corner store or specialty,True,-73.94013,40.70761
718482,SUNSET MINI MARKET,SUNSET MINI MARKET CORP,AC,506 52ND ST,BROOKLYN,11220,Brooklyn,,Size unknown,True,-74.01127,40.64384
718489,PIERCE AVE MINI MARKET,PIERCE AVE MINI MARKET INC,AC,1595 WILLIAMSBRIDGE RD,BRONX,10461,Bronx,1200,Corner store or specialty,True,-73.84896,40.84695
718530,BHH ENTERPRISE,BHH ENTERPRISE INC,AC,52 RIVINGTON ST,NEW YORK,10002,Manhattan,,Size unknown,True,-73.99073,40.7208
718539,FRANCO FRUIT& VEGETABLE,FRANCO FRUIT&VEGETABLE INC,AC,121 EAST BURNSIDE AVE,BRONX,10453,Bronx,2400,Corner store or specialty,True,-73.90491,40.85288
718542,YB FARM & FLORIST,LUCKY CORNER FARM & FLORIST INC.,AC,1902 AVENUE M,BROOKLYN,11230,Brooklyn,,Other licensed food retailer,False,-73.95607,40.61845
718543,STOP 1 DELI GOURMET,STOP 1 DELI GOURMET CORP,AC,320 LAFAYETTE AVENUE,BROOKLYN,11238,Brooklyn,800,Corner store or specialty,True,-73.96267,40.68857
718544,GRAND GOURMET DELI NY,GRAND GOURMET DELI NY INC,AC,619 GRAND ST,BROOKLYN,11211,Brooklyn,1500,Corner store or specialty,True,-73.94739,40.71131
718551,DEEPCHHAYA,DEEPCHHAYA INC,AC,334 W 37 STREET ####,NEW YORK,10018,Manhattan,,Size unknown,True,-73.9937,40.75477
718555,A F DELI GROCEERY & MEAT,A F DELI GROCEERY & MEAT CORP,AC,326 ROEBLING STREET,BROOKLYN,11211,Brooklyn,1200,Corner store or specialty,True,-73.96096,40.70857
718570,ULERIO DELI & GROCERY,ULERIO DELI & GROCERY CORP.,AC,1001 MACE AVENUE,BRONX,10469,Bronx,950,Corner store or specialty,True,-73.85862,40.86305
718573,METRO FINEST DELI,METRO FINEST DELI INC,AC,233 SCHERMERHORN ST ####,BROOKLYN,11201,Brooklyn,,Size unknown,True,-73.98462,40.68842
718574,NATURAL MARKET,QUEENS BLVD ORGANIC INC.,AC,137-75 QUEENS BLVD.,JAMAICA,11435,Queens,,Size unknown,True,-73.81874,40.70901
718578,EXPRESS MINI MARKET,EXPRESS MINI MARKET CORP,AC,980 MORRIS  AVENUE,BRONX,10456,Bronx,,Size unknown,True,-73.91684,40.82852
718600,VAN BRUNT STILLHOUSE,VAN BRUNT STILLHOUSE LLC,ACH,6 BAY ST,BROOKLYN,11231,Brooklyn,,Size unknown,True,-74.00945,40.67361
718602,EAST ELMHURST GROCERY,EAST ELMHURST GROCERY CORP,AC,102-15 ASTORIA BLVD,EAST ELMHURST,11369,Queens,1500,Corner store or specialty,True,-73.86678,40.76163
718627,STANLEY DELI & GROCERY,STANLEY DELI & GROCERY INC,AC,1154 STANLEY AVENUE,BROOKLYN,11208,Brooklyn,2000,Corner store or specialty,True,-73.86704,40.66554
718629,MIDTOWN CATCH,MIDTOWN CATCH CORP,AC,405 E 57TH  ST,NEW YORK,10022,Manhattan,1500,Corner store or specialty,True,-73.96261,40.75821
718635,LI-LAC CHOCOLATES,CTAC HOLDINGS LLC,AC,162 BLEECKER ST,NEW YORK,10012,Manhattan,1000,Corner store or specialty,True,-74.00002,40.72858
